timestamp,Intensity,emotion
2023-12-01 15:08:17.991470,0.9930281,surprise
2023-12-01 15:08:18.502599,0.91989774,neutral
2023-12-01 15:08:18.955440,0.7786173,angry
2023-12-01 15:08:19.416313,0.74405134,neutral
2023-12-01 15:08:19.860766,0.95283383,angry
2023-12-01 15:08:20.294459,0.94276375,angry
2023-12-01 15:08:20.733327,0.4909682,angry
2023-12-01 15:08:21.173930,0.8771921,angry
2023-12-01 15:08:21.642253,0.54764086,happy
2023-12-01 15:08:22.372476,0.52123183,sad
2023-12-01 15:08:22.815330,0.99759054,angry
2023-12-01 15:08:23.292330,0.9933814,angry
2023-12-01 15:08:24.252925,0.9998129,angry
2023-12-01 15:08:24.648535,0.9277094,angry
2023-12-01 15:08:25.324370,0.97081035,surprise
2023-12-01 15:08:25.749950,0.64041466,angry
2023-12-01 15:08:26.144073,0.9123668,surprise
2023-12-01 15:08:26.543859,0.99544793,surprise
2023-12-01 15:08:26.927201,0.97852874,surprise
2023-12-01 15:08:27.327741,0.9025017,surprise
2023-12-01 15:08:27.782690,0.9948152,surprise
2023-12-01 15:08:28.723331,0.7920188,happy
2023-12-01 15:08:29.168090,0.9044881,surprise
2023-12-01 15:08:29.625383,0.5192064,surprise
2023-12-01 15:08:30.088201,0.62143594,surprise
2023-12-01 15:08:30.579976,0.62473047,surprise
2023-12-01 15:08:31.023181,0.94098663,surprise
2023-12-01 15:08:31.450274,0.57125735,surprise
2023-12-01 15:08:31.886999,0.48383197,surprise
2023-12-01 15:08:32.336924,0.51700675,angry
2023-12-01 15:08:32.751807,0.8396096,angry
2023-12-01 15:08:33.208906,0.9889614,neutral
2023-12-01 15:08:33.620015,0.39174432,surprise
2023-12-01 15:08:34.038958,0.5613867,angry
2023-12-01 15:08:34.780381,0.9271465,happy
2023-12-01 15:08:35.288153,0.54460233,neutral
2023-12-01 15:08:35.781639,0.5892322,angry
2023-12-01 15:08:37.276039,0.74016285,neutral
2023-12-01 15:08:37.741151,0.8696786,neutral
2023-12-01 15:08:38.196555,0.5169864,happy
2023-12-01 15:08:39.238347,0.96922046,surprise
2023-12-01 15:08:39.682001,0.8432433,happy
2023-12-01 15:08:40.169589,0.97861606,surprise
2023-12-01 15:08:40.601451,0.9751229,surprise
2023-12-01 15:08:41.024666,0.9929206,surprise
2023-12-01 15:08:41.484847,0.9699145,surprise
2023-12-01 15:08:41.916083,0.8419189,angry
2023-12-01 15:08:42.387948,0.99222696,angry
2023-12-01 15:08:42.851258,0.9599835,angry
2023-12-01 15:08:43.354735,0.6553906,angry
2023-12-01 15:08:43.776977,0.9368665,angry
2023-12-01 15:08:44.249506,0.9150938,surprise
2023-12-01 15:08:44.787405,0.97497094,surprise
2023-12-01 15:08:45.292521,0.63315016,surprise
2023-12-01 15:08:45.724186,0.98166645,surprise
2023-12-01 15:08:46.205232,0.96551657,surprise
2023-12-01 15:08:46.663088,0.5299954,angry
2023-12-01 15:08:47.320429,0.780683,surprise
2023-12-01 15:08:47.771005,0.4109429,neutral
2023-12-01 15:08:50.113753,0.4095829,neutral
2023-12-01 15:08:50.552848,0.7643324,neutral
2023-12-01 15:08:51.015123,0.76968646,sad
2023-12-01 15:08:51.451389,0.9562506,angry
2023-12-01 15:08:51.931994,0.60080177,angry
2023-12-01 15:08:52.716163,0.6876421,angry
2023-12-01 15:08:53.192711,0.9974419,surprise
2023-12-01 15:08:53.698327,0.9877549,surprise
2023-12-01 15:08:54.127795,0.6487403,angry
2023-12-01 15:08:54.548610,0.6025224,surprise
2023-12-01 15:08:55.008019,0.58008313,angry
2023-12-01 15:08:55.507747,0.6948019,angry
2023-12-01 15:08:56.011834,0.99806195,angry
2023-12-01 15:08:56.494260,0.9999634,angry
2023-12-01 15:08:56.992216,0.9966059,angry
2023-12-01 15:08:57.473223,0.91940945,angry
