Timestamp,Frame Path
2023-12-01 16:42:52.976,frames/2023-12-01 16_42_52_976.png
2023-12-01 16:42:57.379,frames/2023-12-01 16_42_57_379.png
2023-12-01 16:42:57.799,frames/2023-12-01 16_42_57_799.png
2023-12-01 16:42:58.218,frames/2023-12-01 16_42_58_218.png
2023-12-01 16:42:58.603,frames/2023-12-01 16_42_58_603.png
2023-12-01 16:42:58.975,frames/2023-12-01 16_42_58_975.png
2023-12-01 16:42:59.346,frames/2023-12-01 16_42_59_346.png
2023-12-01 16:42:59.743,frames/2023-12-01 16_42_59_743.png
2023-12-01 16:43:00.169,frames/2023-12-01 16_43_00_169.png
2023-12-01 16:43:00.569,frames/2023-12-01 16_43_00_569.png
2023-12-01 16:43:00.987,frames/2023-12-01 16_43_00_987.png
2023-12-01 16:43:01.387,frames/2023-12-01 16_43_01_387.png
2023-12-01 16:43:01.768,frames/2023-12-01 16_43_01_768.png
2023-12-01 16:43:02.140,frames/2023-12-01 16_43_02_140.png
2023-12-01 16:43:02.483,frames/2023-12-01 16_43_02_483.png
2023-12-01 16:43:02.862,frames/2023-12-01 16_43_02_862.png
2023-12-01 16:43:03.230,frames/2023-12-01 16_43_03_230.png
2023-12-01 16:43:03.659,frames/2023-12-01 16_43_03_659.png
2023-12-01 16:43:04.029,frames/2023-12-01 16_43_04_029.png
2023-12-01 16:43:04.421,frames/2023-12-01 16_43_04_421.png
2023-12-01 16:43:04.755,frames/2023-12-01 16_43_04_755.png
2023-12-01 16:43:05.134,frames/2023-12-01 16_43_05_134.png
2023-12-01 16:43:05.480,frames/2023-12-01 16_43_05_480.png
2023-12-01 16:43:05.843,frames/2023-12-01 16_43_05_843.png
2023-12-01 16:43:06.290,frames/2023-12-01 16_43_06_290.png
2023-12-01 16:43:06.649,frames/2023-12-01 16_43_06_649.png
2023-12-01 16:43:07.089,frames/2023-12-01 16_43_07_089.png
2023-12-01 16:43:07.502,frames/2023-12-01 16_43_07_502.png
2023-12-01 16:43:07.962,frames/2023-12-01 16_43_07_962.png
2023-12-01 16:43:08.422,frames/2023-12-01 16_43_08_422.png
2023-12-01 16:43:08.717,frames/2023-12-01 16_43_08_717.png
2023-12-01 16:43:09.018,frames/2023-12-01 16_43_09_018.png
