timestamp,Intensity,emotion
2023-12-01 16:42:57.111097,0.98596025,surprise
2023-12-01 16:42:57.657475,0.985033,happy
2023-12-01 16:42:58.083562,0.99955577,happy
2023-12-01 16:42:58.499347,0.9963319,happy
2023-12-01 16:42:58.854919,0.9958169,happy
2023-12-01 16:42:59.237520,0.9361058,happy
2023-12-01 16:42:59.614017,0.6253278,happy
2023-12-01 16:43:00.047412,0.81095654,surprise
2023-12-01 16:43:00.441245,0.983077,surprise
2023-12-01 16:43:00.863489,0.57144874,angry
2023-12-01 16:43:01.252135,0.6534171,angry
2023-12-01 16:43:01.663525,0.64253944,angry
2023-12-01 16:43:02.011703,0.9570826,angry
2023-12-01 16:43:02.366487,0.90494156,angry
2023-12-01 16:43:02.744175,0.54714185,surprise
2023-12-01 16:43:03.100375,0.97548634,angry
2023-12-01 16:43:03.532827,0.9989028,surprise
2023-12-01 16:43:03.891494,0.99454874,happy
2023-12-01 16:43:04.297269,0.9892569,happy
2023-12-01 16:43:04.642532,0.99939394,happy
2023-12-01 16:43:05.008827,0.9989976,happy
2023-12-01 16:43:05.363468,0.9992472,happy
2023-12-01 16:43:05.737492,0.59095895,happy
2023-12-01 16:43:06.165556,0.84584373,happy
2023-12-01 16:43:06.531245,0.9878036,surprise
2023-12-01 16:43:06.930569,0.8890643,surprise
2023-12-01 16:43:07.359954,0.83124006,happy
2023-12-01 16:43:07.801302,0.98107636,happy
2023-12-01 16:43:08.262360,0.90257454,surprise
